epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,4587.08,0.81586,0.44546,0.97291,0.97751,0.96969,0.98345,0.76225,0.84473,0.41612,0.9972,0.000359,0.000359,0.000359
74,4652.46,0.80609,0.43629,0.96727,0.97444,0.97212,0.98386,0.76567,0.84932,0.40947,1.01043,0.000346625,0.000346625,0.000346625
75,4715,0.81555,0.4432,0.97398,0.96965,0.96982,0.98273,0.76308,0.84999,0.40953,1.00462,0.00033425,0.00033425,0.00033425
76,4777.19,0.80463,0.43863,0.96969,0.9741,0.96506,0.98225,0.76043,0.85682,0.41662,1.01332,0.000321875,0.000321875,0.000321875
77,4841.4,0.79587,0.42759,0.96887,0.96976,0.97093,0.98087,0.76183,0.84962,0.40888,1.00384,0.0003095,0.0003095,0.0003095
78,4905.35,0.80419,0.43278,0.98055,0.97622,0.9674,0.98216,0.76963,0.83364,0.40153,0.99654,0.000297125,0.000297125,0.000297125
79,4971.38,0.79727,0.43112,0.97421,0.97793,0.9687,0.9819,0.76825,0.82739,0.40616,1.00261,0.00028475,0.00028475,0.00028475
80,5034.79,0.79635,0.43519,0.96417,0.97684,0.9667,0.98255,0.76324,0.8348,0.40046,0.99376,0.000272375,0.000272375,0.000272375
81,5102.34,0.79103,0.42929,0.97098,0.97735,0.97175,0.98321,0.76414,0.83069,0.3973,0.98922,0.00026,0.00026,0.00026
82,5171.58,0.77764,0.42664,0.96367,0.97482,0.97222,0.98274,0.76929,0.83231,0.39591,0.9976,0.000247625,0.000247625,0.000247625
83,5234.91,0.79558,0.42002,0.97081,0.97792,0.9728,0.98411,0.76946,0.83226,0.39927,0.99603,0.00023525,0.00023525,0.00023525
84,5299.71,0.78219,0.42391,0.9643,0.97167,0.97117,0.98331,0.76926,0.8326,0.39766,0.98421,0.000222875,0.000222875,0.000222875
85,5361.41,0.77304,0.4206,0.96197,0.97723,0.96394,0.98368,0.77396,0.81951,0.39276,0.98636,0.0002105,0.0002105,0.0002105
86,5422.81,0.77537,0.42601,0.96006,0.97794,0.96542,0.98313,0.7729,0.82549,0.39407,0.98939,0.000198125,0.000198125,0.000198125
87,5483.56,0.76741,0.41873,0.95866,0.97937,0.96446,0.98221,0.76861,0.82346,0.39289,0.99518,0.00018575,0.00018575,0.00018575
88,5546.88,0.78549,0.42181,0.96275,0.97637,0.97055,0.98312,0.7638,0.83458,0.39286,0.99546,0.000173375,0.000173375,0.000173375
89,5608.15,0.77836,0.41965,0.95862,0.97842,0.9668,0.98464,0.76894,0.82656,0.39336,0.9882,0.000161,0.000161,0.000161
90,5669.34,0.76304,0.41189,0.95817,0.97756,0.96982,0.9862,0.77097,0.81952,0.39017,0.98754,0.000148625,0.000148625,0.000148625
91,5729.04,0.75575,0.38986,0.94981,0.97762,0.96659,0.98329,0.76283,0.8168,0.39627,0.9939,0.00013625,0.00013625,0.00013625
92,5788.53,0.74903,0.38063,0.94329,0.97238,0.96583,0.98104,0.76756,0.81597,0.39277,0.99225,0.000123875,0.000123875,0.000123875
93,5847.95,0.74414,0.37629,0.94102,0.97568,0.9683,0.98378,0.76955,0.81288,0.38868,0.98658,0.0001115,0.0001115,0.0001115
94,5907.54,0.73651,0.37487,0.9288,0.97738,0.96254,0.98122,0.77368,0.81133,0.38916,0.98166,9.9125e-05,9.9125e-05,9.9125e-05
95,5967.1,0.73179,0.37455,0.93228,0.97964,0.96759,0.98366,0.77036,0.8194,0.39286,0.98593,8.675e-05,8.675e-05,8.675e-05
96,6026.94,0.73157,0.37348,0.93326,0.98027,0.97043,0.98412,0.77508,0.80757,0.39075,0.98177,7.4375e-05,7.4375e-05,7.4375e-05
97,6087.03,0.72533,0.37009,0.93591,0.97654,0.97106,0.9824,0.77145,0.81659,0.38979,0.98866,6.2e-05,6.2e-05,6.2e-05
98,6147,0.72419,0.36746,0.93721,0.97534,0.96844,0.98195,0.77329,0.81009,0.38434,0.98261,4.9625e-05,4.9625e-05,4.9625e-05
99,6206.91,0.7216,0.36817,0.92719,0.9772,0.97119,0.98476,0.77528,0.80761,0.3834,0.98195,3.725e-05,3.725e-05,3.725e-05
100,6267.11,0.72589,0.36651,0.92336,0.97906,0.97243,0.9851,0.77733,0.80673,0.3836,0.98126,2.4875e-05,2.4875e-05,2.4875e-05
